Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Oriol Romeu,SOU,MID,4.5,4.5%,5.0,20.0,500.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,75.0,128.2,51.0,42.0,22.1,5.0,0.0,1.1,4.4,3.3,212412.0,191496.0,0.0,0.0,6,1.0,0.15,0.15,0.09,1.84,1.72,0.03,0.03,0.02,0.04,0.04,0.33,0.31,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
McCarthy,SOU,GKP,4.5,19.0%,5.3,24.0,540.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,113.0,105.2,0.0,0.0,10.6,5.3,1.0,1.2,5.3,4.0,444979.0,603787.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.14,0.14,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Bertrand,SOU,DEF,5.0,1.4%,4.3,22.0,540.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,100.0,72.0,105.9,37.0,21.4,4.3,0.0,0.9,4.4,3.7,40061.0,49356.0,0.0,0.0,6,0.0,0.06,0.06,0.44,1.67,1.53,0.01,0.01,0.07,0.08,0.08,0.28,0.25,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Walker-Peters,SOU,DEF,4.5,10.7%,3.7,21.0,540.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,116.0,112.0,51.7,36.0,20.0,3.7,0.0,0.8,4.7,3.5,362238.0,392165.0,0.0,0.0,6,0.0,0.16,0.16,0.48,1.66,1.27,0.03,0.03,0.08,0.11,0.11,0.28,0.21,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Ward-Prowse,SOU,MID,5.8,1.9%,5.3,23.0,540.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,112.0,106.6,138.1,56.0,30.1,5.3,1.0,0.9,4.0,3.8,37230.0,197953.0,-2.0,2.0,6,1.0,0.35,0.35,0.46,1.32,1.07,0.06,0.06,0.08,0.14,0.14,0.22,0.18,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Ings,SOU,FWD,8.5,18.4%,6.3,41.0,540.0,4.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,154.0,203.4,73.7,216.0,49.3,6.3,1.0,0.7,4.8,6.8,621613.0,949099.0,0.0,0.0,6,3.0,2.34,1.58,0.35,2.2,0.44,0.39,0.26,0.06,0.45,0.32,0.37,0.07,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Bednarek,SOU,DEF,4.5,2.1%,4.3,22.0,495.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,116.0,88.4,14.4,23.0,12.6,4.3,0.0,1.0,4.9,3.7,39642.0,94220.0,0.0,0.0,6,0.0,0.1,0.1,0.04,1.45,1.41,0.02,0.02,0.01,0.02,0.02,0.26,0.26,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Adams,SOU,FWD,5.8,1.9%,7.0,29.0,495.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,87.0,133.2,70.7,213.0,41.8,7.0,1.0,1.2,5.0,4.8,98379.0,265137.0,-2.0,2.0,6,2.0,3.11,3.11,0.98,3.12,0.54,0.55,0.55,0.17,0.72,0.72,0.55,0.09,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Vestergaard,SOU,DEF,4.5,2.2%,6.7,27.0,405.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,140.8,15.0,42.0,19.8,6.7,0.0,1.5,6.0,5.4,130972.0,29003.0,0.0,0.0,5,1.0,0.08,0.08,0.51,1.11,1.11,0.02,0.02,0.11,0.13,0.13,0.25,0.25,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Armstrong,SOU,MID,5.5,0.2%,3.0,14.0,332.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,51.0,75.7,45.0,17.2,3.0,0.0,0.5,2.5,3.5,6911.0,20177.0,0.0,0.0,4,0.0,0.32,0.32,0.36,0.92,0.48,0.09,0.09,0.1,0.18,0.18,0.24,0.13,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Redmond,SOU,MID,6.4,0.2%,2.0,8.0,291.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.4,32.4,51.0,10.5,2.0,0.0,0.3,1.2,2.0,14003.0,57982.0,-1.0,1.0,4,0.0,0.38,0.38,0.1,0.82,0.36,0.12,0.12,0.03,0.15,0.15,0.25,0.11,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Djenepo,SOU,MID,5.5,0.1%,1.7,14.0,233.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,35.4,7.2,46.0,8.7,1.7,0.0,0.3,2.5,3.5,11934.0,14106.0,0.0,0.0,4,1.0,0.16,0.16,0.0,1.16,1.02,0.06,0.06,0.0,0.06,0.06,0.45,0.39,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Stephens,SOU,DEF,4.8,0.2%,0.0,1.0,180.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,28.8,1.9,17.0,4.8,0.0,0.0,0.0,0.2,0.5,2278.0,21080.0,-2.0,2.0,2,0.0,0.09,0.09,0.0,0.28,0.28,0.04,0.04,0.0,0.04,0.04,0.14,0.14,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Smallbone,SOU,MID,4.5,0.4%,0.0,3.0,111.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.2,4.1,0.0,1.1,0.0,0.0,0.0,0.7,1.5,23053.0,30539.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Walcott,SOU,MID,5.8,0.2%,1.5,6.0,102.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,26.8,54.1,9.0,9.0,1.5,0.0,0.3,1.0,3.0,6073.0,14938.0,-2.0,2.0,2,0.0,0.06,0.06,0.22,0.32,0.08,0.05,0.05,0.2,0.25,0.25,0.29,0.07,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Tella,SOU,MID,4.4,0.4%,0.3,3.0,48.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.8,3.0,0.7,0.3,0.0,0.1,0.7,1.0,27111.0,16520.0,-1.0,1.0,3,0.0,0.02,0.02,0.0,0.21,0.19,0.05,0.05,0.0,0.05,0.05,0.45,0.4,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Long,SOU,FWD,5.3,0.7%,0.7,4.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.6,6.0,0.7,0.7,0.0,0.1,0.8,1.0,22957.0,78717.0,-2.0,2.0,4,0.0,0.04,0.04,0.0,0.0,0.0,0.23,0.23,0.0,0.23,0.23,0.0,0.0,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Obafemi,SOU,FWD,4.8,1.3%,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.2,1.0,43425.0,135613.0,-2.0,2.0,1,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Diallo,SOU,MID,4.5,0.0%,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.4,11.7,4.0,2.0,1.0,0.0,0.2,0.4,1.0,1033.0,312.0,0.0,0.0,2,0.0,0.0,0.0,0.04,0.06,0.02,0.0,0.0,0.85,0.85,0.85,1.33,0.47,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
N'Lundulu,SOU,FWD,4.5,0.0%,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.0,1173.0,146.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,3,1,2.0,10.0,9,10,7.36,6.6,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
Fabinho,LIV,MID,5.5,1.5%,1.8,14.0,482.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.0,89.8,33.5,9.0,13.4,1.8,0.0,0.3,2.5,2.3,65536.0,82120.0,0.0,0.0,6,0.0,0.05,0.05,0.1,2.15,2.05,0.01,0.01,0.02,0.03,0.03,0.4,0.38,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Alisson,LIV,GKP,5.9,7.4%,1.0,19.0,360.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,79.0,89.8,0.0,0.0,9.0,1.0,1.0,0.2,3.2,4.8,229530.0,710678.0,-1.0,1.0,4,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0,0.16,0.16,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
